chrom,start,end,strand,mid,lattice_loc
chr1,34005641,34006016,+,34005828.5,23
chr1,34011003,34011576,+,34011289.5,45
chr1,34049624,34049965,-,34049794.5,199
chr1,34068201,34068742,-,34068471.5,273
chr1,34093645,34094093,+,34093869.0,375
chr1,34164669,34165075,-,34164872.0,659
chr1,34189897,34190469,+,34190183.0,760
chr1,34201505,34201841,+,34201673.0,806
chr1,34218271,34218763,+,34218517.0,874
chr1,34290841,34291181,-,34291011.0,1164
chr1,34290841,34291181,-,34291011.0,1164
chr1,34409903,34410235,-,34410069.0,1640
chr1,34462785,34463309,+,34463047.0,1852
chr1,34485827,34486306,+,34486066.5,1944
chr1,34485827,34486306,-,34486066.5,1944
chr1,34511016,34511486,+,34511251.0,2045
chr1,34513125,34513421,+,34513273.0,2053
chr1,34516030,34516381,-,34516205.5,2064
chr1,34541176,34541605,+,34541390.5,2165
chr1,34584067,34584377,+,34584222.0,2336
chr1,34584067,34584377,-,34584222.0,2336
chr1,34602289,34602757,-,34602523.0,2410
chr1,34602289,34602757,-,34602523.0,2410
chr1,34642425,34642894,+,34642659.5,2570
chr1,34700640,34701074,-,34700857.0,2803
chr1,34738325,34738953,+,34738639.0,2954
chr1,34775558,34775872,-,34775715.0,3102
chr1,34776438,34776816,+,34776627.0,3106
chr1,34791788,34792095,+,34791941.5,3167
chr1,34867104,34867657,+,34867380.5,3469
chr1,34867104,34867657,-,34867380.5,3469
chr1,34891624,34891895,+,34891759.5,3567
chr1,34896902,34897282,-,34897092.0,3588
chr1,34911989,34912347,-,34912168.0,3648
chr1,35032638,35032991,+,35032814.5,4131
chr1,35266652,35266994,+,35266823.0,5067
chr1,35266652,35266994,-,35266823.0,5067
chr1,35385331,35385819,-,35385575.0,5542
chr1,35388109,35388599,+,35388354.0,5553
chr1,35388109,35388599,+,35388354.0,5553
chr1,35392442,35392789,+,35392615.5,5570
chr1,35392442,35392789,+,35392615.5,5570
chr1,35465105,35465446,-,35465275.5,5861
chr1,35478288,35478647,-,35478467.5,5913
chr1,35715854,35716428,-,35716141.0,6864
chr1,35715854,35716428,-,35716141.0,6864
chr1,35726552,35727014,+,35726783.0,6907
chr1,35765612,35765943,+,35765777.5,7063
chr1,35765612,35765943,+,35765777.5,7063
chr1,35839399,35839962,+,35839680.5,7358
chr1,35839399,35839962,+,35839680.5,7358
chr1,35846532,35846992,-,35846762.0,7387
chr1,36010208,36010519,-,36010363.5,8041
chr1,36064868,36065264,-,36065066.0,8260
chr1,36134576,36135025,-,36134800.5,8539
chr1,36145102,36145411,+,36145256.5,8581
chr1,36149414,36149795,-,36149604.5,8598
chr1,36224697,36225020,+,36224858.5,8899
chr1,36252809,36253222,-,36253015.5,9012
chr1,36254569,36255070,-,36254819.5,9019
chr1,36256181,36256648,+,36256414.5,9025
chr1,36277199,36277668,-,36277433.5,9109
chr1,36279171,36279665,-,36279418.0,9117
chr1,36321730,36322172,-,36321951.0,9287
chr1,36324025,36324431,+,36324228.0,9296
chr1,36454412,36454833,+,36454622.5,9818
chr1,36471503,36472006,-,36471754.5,9887
chr1,36492421,36492822,-,36492621.5,9970
chr1,36501180,36501737,-,36501458.5,10005
chr1,36501180,36501737,-,36501458.5,10005
chr1,36511288,36511832,-,36511560.0,10046
chr1,36513737,36514095,+,36513916.0,10055
chr1,36547049,36547635,+,36547342.0,10189
chr1,36556911,36557595,+,36557253.0,10229
chr1,36556911,36557595,-,36557253.0,10229
chr1,36615968,36616334,-,36616151.0,10464
chr1,36634883,36635386,-,36635134.5,10540
chr1,36664441,36664806,-,36664623.5,10658
chr1,36684001,36684901,+,36684451.0,10737
chr1,36684001,36684901,-,36684451.0,10737
chr1,36684001,36684901,+,36684451.0,10737
chr1,36709244,36709545,+,36709394.5,10837
chr1,36709244,36709545,-,36709394.5,10837
chr1,36737311,36737694,+,36737502.5,10950
chr1,36744529,36745006,-,36744767.5,10979
chr1,36746402,36746925,-,36746663.5,10986
chr1,36758536,36758938,+,36758737.0,11034
chr1,36784624,36785050,+,36784837.0,11139
chr1,36784624,36785050,+,36784837.0,11139
chr1,36786292,36786786,+,36786539.0,11146
chr1,36821959,36822292,+,36822125.5,11288
chr1,36824677,36825058,-,36824867.5,11299
chr1,36833081,36833441,-,36833261.0,11333
chr1,36848044,36848435,+,36848239.5,11392
chr1,36848044,36848435,+,36848239.5,11392
chr1,36929997,36930355,+,36930176.0,11720
chr1,37098621,37099063,+,37098842.0,12395
chr1,37098621,37099063,+,37098842.0,12395
chr1,37151901,37152260,-,37152080.5,12608
chr1,37194552,37194915,+,37194733.5,12778
chr1,37250359,37251061,+,37250710.0,13002
chr1,37250359,37251061,-,37250710.0,13002
chr1,37258434,37258857,+,37258645.5,13034
chr1,37272475,37273314,+,37272894.5,13091
chr1,37272475,37273314,-,37272894.5,13091
chr1,37329098,37329542,+,37329320.0,13317
chr1,37401673,37402105,-,37401889.0,13607
chr1,37419284,37420006,+,37419645.0,13678
chr1,37419284,37420006,+,37419645.0,13678
chr1,37448323,37448784,+,37448553.5,13794
chr1,37466652,37466949,+,37466800.5,13867
chr1,37479077,37479455,+,37479266.0,13917
chr1,37624206,37624532,-,37624369.0,14497
chr1,37634621,37635031,-,37634826.0,14539
chr1,37635758,37636559,-,37636158.5,14544
chr1,37635758,37636559,+,37636158.5,14544
chr1,37635758,37636559,-,37636158.5,14544
chr1,37639107,37639646,-,37639376.5,14557
chr1,37653976,37654392,-,37654184.0,14616
chr1,37654572,37654959,-,37654765.5,14619
chr1,37675410,37675822,-,37675616.0,14702
chr1,37678329,37678867,+,37678598.0,14714
chr1,37678329,37678867,+,37678598.0,14714
chr1,37708279,37708677,-,37708478.0,14833
chr1,37719569,37720193,+,37719881.0,14879
chr1,37867074,37867447,-,37867260.5,15469
chr1,37881790,37882072,-,37881931.0,15527
chr1,37881790,37882072,-,37881931.0,15527
chr1,37901751,37902123,+,37901937.0,15607
chr1,37903199,37903564,+,37903381.5,15613
chr1,37931759,37932207,-,37931983.0,15727
chr1,37931759,37932207,+,37931983.0,15727
chr1,37961770,37962080,-,37961925.0,15847
chr1,37965497,37966021,-,37965759.0,15863
chr1,37965497,37966021,-,37965759.0,15863
chr1,37985713,37986204,-,37985958.5,15943
chr1,38129669,38130336,-,38130002.5,16520
chr1,38185479,38185913,+,38185696.0,16742
chr1,38202714,38203229,+,38202971.5,16811
chr1,38252680,38253131,+,38252905.5,17011
chr1,38307215,38307633,-,38307424.0,17229
chr1,38392941,38393286,+,38393113.5,17572
chr1,38639703,38640030,-,38639866.5,18559
chr1,38654987,38655347,-,38655167.0,18620
chr1,38654987,38655347,+,38655167.0,18620
chr1,38720253,38720717,+,38720485.0,18881
chr1,38767847,38768251,-,38768049.0,19072
chr1,38769836,38770297,-,38770066.5,19080
chr1,38778340,38778655,-,38778497.5,19113
chr1,38787457,38787881,-,38787669.0,19150
chr1,38788909,38789321,+,38789115.0,19156
chr1,38799312,38799798,+,38799555.0,19198
chr1,38799312,38799798,-,38799555.0,19198
chr1,38834828,38835293,+,38835060.5,19340
chr1,38856171,38856605,-,38856388.0,19425
chr1,38862202,38862637,-,38862419.5,19449
chr1,38862202,38862637,+,38862419.5,19449
chr1,38934662,38935060,-,38934861.0,19739
chr1,38934662,38935060,-,38934861.0,19739
chr1,38936754,38937219,-,38936986.5,19747
chr1,39001121,39001488,+,39001304.5,20005
chr1,39001121,39001488,+,39001304.5,20005
chr1,39010663,39011102,+,39010882.5,20043
chr1,39180550,39180888,-,39180719.0,20722
chr1,39196669,39196993,-,39196831.0,20787
chr1,39206882,39207363,+,39207122.5,20828
chr1,39210914,39211294,-,39211104.0,20844
chr1,39210914,39211294,-,39211104.0,20844
chr1,39217575,39218000,+,39217787.5,20871
chr1,39227699,39228003,-,39227851.0,20911
chr1,39229960,39230429,-,39230194.5,20920
chr1,39229960,39230429,-,39230194.5,20920
chr1,39253717,39254228,+,39253972.5,21015
chr1,39253717,39254228,-,39253972.5,21015
chr1,39340656,39341021,-,39340838.5,21363
chr1,39352753,39353099,-,39352926.0,21411
chr1,39362169,39362508,+,39362338.5,21449
chr1,39392121,39392678,+,39392399.5,21569
chr1,39416494,39417294,+,39416894.0,21667
chr1,39416494,39417294,+,39416894.0,21667
chr1,39416494,39417294,-,39416894.0,21667
chr1,39416494,39417294,-,39416894.0,21667
chr1,39429037,39429394,-,39429215.5,21716
chr1,39432102,39432483,-,39432292.5,21729
chr1,39436888,39437216,+,39437052.0,21748
chr1,39497028,39497367,-,39497197.5,21988
chr1,39497028,39497367,-,39497197.5,21988
chr1,39497713,39498218,-,39497965.5,21991
chr1,39497713,39498218,-,39497965.5,21991
chr1,39504314,39504602,-,39504458.0,22017
chr1,39504314,39504602,+,39504458.0,22017
chr1,39522540,39523288,+,39522914.0,22091
chr1,39522540,39523288,-,39522914.0,22091
chr1,39522540,39523288,-,39522914.0,22091
chr1,39527376,39527870,+,39527623.0,22110
chr1,39530233,39530693,-,39530463.0,22121
chr1,39530233,39530693,-,39530463.0,22121
chr1,39540641,39540948,+,39540794.5,22163
chr1,39611506,39611835,+,39611670.5,22446
chr1,39614860,39615306,+,39615083.0,22460
chr1,39614860,39615306,+,39615083.0,22460
chr1,39641630,39642063,+,39641846.5,22567
chr1,39641630,39642063,+,39641846.5,22567
chr1,39650760,39651248,-,39651004.0,22604
chr1,39650760,39651248,+,39651004.0,22604
chr1,39650760,39651248,-,39651004.0,22604
chr1,39664342,39664688,+,39664515.0,22658
chr1,39680507,39680949,-,39680728.0,22722
chr1,39685887,39686186,+,39686036.5,22744
chr1,39710014,39710308,+,39710161.0,22840
chr1,39761336,39761770,+,39761553.0,23046
chr1,39911491,39911905,-,39911698.0,23646
chr1,39911491,39911905,+,39911698.0,23646
chr1,39936510,39936928,-,39936719.0,23746
chr1,39936510,39936928,-,39936719.0,23746
chr1,40000918,40001328,+,40001123.0,24004
chr1,40115242,40115678,+,40115460.0,24461
chr1,40116411,40116797,+,40116604.0,24466
chr1,40290611,40291000,-,40290805.5,25163
chr1,40293899,40294321,-,40294110.0,25176
chr1,40293899,40294321,+,40294110.0,25176
chr1,40378721,40379198,-,40378959.5,25515
chr1,40380066,40380477,+,40380271.5,25521
chr1,40537614,40537912,+,40537763.0,26151
chr1,40544656,40545014,-,40544835.0,26179
chr1,40579749,40580177,+,40579963.0,26319
chr1,40657965,40658339,-,40658152.0,26632
chr1,40768561,40769031,-,40768796.0,27075
chr1,40768561,40769031,+,40768796.0,27075
chr1,40768561,40769031,-,40768796.0,27075
chr1,40797316,40797769,+,40797542.5,27190
chr1,40802765,40803134,+,40802949.5,27211
chr1,40844612,40845049,-,40844830.5,27379
chr1,40879052,40879492,+,40879272.0,27517
chr1,40884824,40885318,+,40885071.0,27540
chr1,40884824,40885318,-,40885071.0,27540
chr1,40887591,40888037,-,40887814.0,27551
chr1,40887591,40888037,+,40887814.0,27551
chr1,41001599,41001917,+,41001758.0,28007
chr1,41058301,41058650,-,41058475.5,28233
chr1,41105451,41105800,+,41105625.5,28422
chr1,41152592,41152896,+,41152744.0,28610
chr1,41264238,41264588,+,41264413.0,29057
chr1,41264238,41264588,-,41264413.0,29057
chr1,41386444,41386838,+,41386641.0,29546
chr1,41810355,41810660,+,41810507.5,31242
chr1,42160765,42161143,+,42160954.0,32643
chr1,42238408,42238745,-,42238576.5,32954
chr1,42684676,42685210,+,42684943.0,34739
chr1,42691222,42691578,-,42691400.0,34765
chr1,42714539,42714884,-,42714711.5,34858
chr1,42714539,42714884,-,42714711.5,34858
chr1,42718600,42718889,-,42718744.5,34874
chr1,42856090,42856767,+,42856428.5,35425
chr1,42856090,42856767,-,42856428.5,35425
chr1,42915044,42915401,+,42915222.5,35660
chr1,43065879,43066320,-,43066099.5,36264
chr1,43110556,43110984,-,43110770.0,36443
chr1,43112919,43113265,+,43113092.0,36452
chr1,43138170,43138685,+,43138427.5,36553
chr1,43139562,43140037,+,43139799.5,36559
chr1,43264382,43264782,-,43264582.0,37058
chr1,43269693,43270048,-,43269870.5,37079
chr1,43299473,43299810,+,43299641.5,37198
