chrom,start,end,mid,strand,lattice_loc,predicted_occupancy
chr1,34005641,34006016,34005828.5,+,23,0.089047424
chr1,34011003,34011576,34011289.5,+,45,0.22005928
chr1,34049624,34049965,34049794.5,-,199,0.26043627
chr1,34068201,34068742,34068471.5,-,273,0.6445974
chr1,34093645,34094093,34093869.0,+,375,0.19764765
chr1,34164669,34165075,34164872.0,-,659,0.6695445
chr1,34189897,34190469,34190183.0,+,760,0.3940395
chr1,34201505,34201841,34201673.0,+,806,0.6366408
chr1,34218271,34218763,34218517.0,+,874,0.65070176
chr1,34290841,34291181,34291011.0,-,1164,0.21192494
chr1,34290841,34291181,34291011.0,-,1164,0.21192494
chr1,34409903,34410235,34410069.0,-,1640,0.22981092
chr1,34462785,34463309,34463047.0,+,1852,0.4598127
chr1,34485827,34486306,34486066.5,+,1944,0.10677916
chr1,34485827,34486306,34486066.5,-,1944,0.10677916
chr1,34511016,34511486,34511251.0,+,2045,0.49702835
chr1,34513125,34513421,34513273.0,+,2053,0.06140497
chr1,34516030,34516381,34516205.5,-,2064,0.24772692
chr1,34541176,34541605,34541390.5,+,2165,0.34390378
chr1,34584067,34584377,34584222.0,+,2336,0.26302743
chr1,34584067,34584377,34584222.0,-,2336,0.26302743
chr1,34602289,34602757,34602523.0,-,2410,0.49459147
chr1,34602289,34602757,34602523.0,-,2410,0.49459147
chr1,34642425,34642894,34642659.5,+,2570,0.48131764
chr1,34700640,34701074,34700857.0,-,2803,0.5125007
chr1,34738325,34738953,34738639.0,+,2954,0.656264
chr1,34775558,34775872,34775715.0,-,3102,0.249849
chr1,34776438,34776816,34776627.0,+,3106,0.47762737
chr1,34791788,34792095,34791941.5,+,3167,0.094951935
chr1,34867104,34867657,34867380.5,+,3469,0.36689335
chr1,34867104,34867657,34867380.5,-,3469,0.36689335
chr1,34891624,34891895,34891759.5,+,3567,0.20029977
chr1,34896902,34897282,34897092.0,-,3588,0.25577852
chr1,34911989,34912347,34912168.0,-,3648,0.3023695
chr1,35032638,35032991,35032814.5,+,4131,0.16062036
chr1,35266652,35266994,35266823.0,+,5067,0.19558044
chr1,35266652,35266994,35266823.0,-,5067,0.19558044
chr1,35385331,35385819,35385575.0,-,5542,0.4110264
chr1,35388109,35388599,35388354.0,+,5553,0.43613285
